projected_draft_position,player_name,position,team,bye_week,passing_data,rushing_data,receiving_data,total_yards,projected_points,rushing_yards,receiving_yards,value
1,Christian McCaffrey,RB1,SF,9,21,0.3,0.1,1019,9.0,61,477,4.5
2,CeeDee Lamb,WR1,DAL,7,0,0.0,0.0,50,0.8,107,1363,9.6
3,Bijan Robinson,RB2,ATL,12,0,0.0,0.0,1132,7.3,51,417,3.2
4,Ja'Marr Chase,WR2,CIN,12,0,0.0,0.0,17,0.2,105,1325,9.1
4,Breece Hall,RB3,NYJ,12,0,0.0,0.0,1044,6.9,55,454,3.1
6,Tyreek Hill,WR3,MIA,6,0,0.0,0.0,24,0.9,98,1388,8.5
7,Amon-Ra St. Brown,WR4,DET,5,0,0.0,0.0,22,0.3,109,1304,7.5
8,Jahmyr Gibbs,RB4,DET,5,0,0.0,0.0,923,8.6,57,432,2.2
9,Justin Jefferson,WR5,MIN,6,0,0.0,0.0,11,0.2,98,1373,7.7
10,Jonathan Taylor,RB5,IND,14,0,0.0,0.0,1220,7.9,38,310,1.7
11,De'Von Achane,RB6,MIA,6,0,0.0,0.0,916,8.9,42,356,2.7
12,Puka Nacua,WR6,LAR,6,0,0.0,0.0,59,0.4,96,1208,7.3
13,A.J. Brown,WR7,PHI,5,0,0.0,0.0,18,0.2,93,1221,7.7
14,Saquon Barkley,RB7,PHI,5,0,0.0,0.0,1090,7.5,39,285,1.5
15,Garrett Wilson,WR8,NYJ,12,0,0.0,0.0,28,0.2,97,1113,7.4
16,Kyren Williams,RB8,LAR,6,0,0.0,0.0,935,8.8,36,257,1.8
17,Travis Etienne Jr.,RB9,JAC,12,0,0.0,0.0,914,7.8,42,304,0.8
18,Chris Olave,WR9,NO,12,0,0.0,0.0,14,0.1,88,1125,6.3
19,Josh Allen,QB1,BUF,12,4003,26.1,14.3,511,8.9,0,0,0.0
20,Drake London,WR10,ATL,12,0,0.0,0.0,10,0.1,87,1102,6.2
21,Jalen Hurts,QB2,PHI,5,3766,22.3,12.3,584,10.2,0,0,0.0
22,Rachaad White,RB10,TB,11,0,0.0,0.0,794,5.3,45,347,1.7
23,Travis Kelce,TE1,KC,6,0,0.0,0.0,0,0.0,78,877,7.7
24,Marvin Harrison Jr.,WR11,ARI,11,0,0.0,0.0,13,0.1,85,1029,6.6
25,Nico Collins,WR12,HOU,14,0,0.0,0.0,16,0.1,75,1061,7.5
26,Lamar Jackson,QB3,BAL,14,3596,22.9,10.4,791,4.9,0,0,0.0
27,Patrick Mahomes,QB4,KC,6,4378,32.7,11.9,324,1.3,0,0,0.0
28,Isiah Pacheco,RB11,KC,6,0,0.0,0.0,785,7.0,36,248,1.8
29,Derrick Henry,RB12,BAL,14,0,0.0,0.0,962,9.5,20,149,0.7
29,Sam LaPorta,TE2,DET,5,0,0.0,0.0,4,0.1,77,841,6.7
31,Brandon Aiyuk,WR13,SF,9,0,0.0,0.0,13,0.2,73,1038,7.3
32,Josh Jacobs,RB13,GB,10,0,0.0,0.0,872,6.7,33,232,1.3
33,James Cook,RB14,BUF,12,0,0.0,0.0,766,3.6,42,347,2.3
34,Cooper Kupp,WR14,LAR,6,0,0.0,0.0,9,0.1,82,968,6.4
35,Christian Kirk,WR15,JAC,12,0,0.0,0.0,11,0.1,84,935,6.2
36,Davante Adams,WR16,LV,10,0,0.0,0.0,0,0.0,77,978,6.7
37,Michael Pittman Jr.,WR17,IND,14,0,0.0,0.0,0,0.0,87,967,5.1
38,Mike Evans,WR18,TB,11,0,0.0,0.0,0,0.0,73,1013,6.6
39,Stefon Diggs,WR19,HOU,14,0,0.0,0.0,5,0.0,82,938,6.2
40,Rhamondre Stevenson,RB15,NE,14,0,0.0,0.0,784,5.2,37,259,1.4
41,DeVonta Smith,WR20,PHI,5,0,0.0,0.0,0,0.0,77,981,6.0
42,DK Metcalf,WR21,SEA,10,0,0.0,0.0,0,0.0,72,971,6.8
43,Malik Nabers,WR22,NYG,11,0,0.0,0.0,19,0.2,78,961,5.3
44,DJ Moore,WR23,CHI,7,0,0.0,0.0,24,0.3,71,985,5.7
45,Alvin Kamara,RB16,NO,12,0,0.0,0.0,618,4.1,50,331,1.2
46,Kenneth Walker III,RB17,SEA,10,0,0.0,0.0,850,6.6,27,196,0.8
47,Joe Mixon,RB18,HOU,14,0,0.0,0.0,806,6.5,31,204,0.7
48,Jaylen Waddle,WR24,MIA,6,0,0.0,0.0,11,0.1,72,973,5.6
49,Mark Andrews,TE3,BAL,14,0,0.0,0.0,3,0.0,65,786,6.3
50,C.J. Stroud,QB5,HOU,14,4319,27.4,12.7,203,3.1,0,0,0.0
51,Aaron Jones,RB19,MIN,6,0,0.0,0.0,824,4.7,32,229,1.2
51,Trey McBride,TE4,ARI,11,0,0.0,0.0,0,0.0,75,784,4.5
53,George Pickens,WR25,PIT,9,0,0.0,0.0,19,0.1,67,980,5.9
54,Deebo Samuel Sr.,WR26,SF,9,0,0.0,0.0,111,2.1,63,855,5.1
55,Jordan Love,QB6,GB,10,4153,27.8,11.7,222,2.8,0,0,0.0
56,Anthony Richardson,QB7,IND,14,3189,17.8,12.0,701,8.0,0,0,0.0
57,Joe Burrow,QB8,CIN,12,4161,29.2,11.5,205,1.9,0,0,0.0
58,Dalton Kincaid,TE5,BUF,12,0,0.0,0.0,0,0.0,72,766,4.8
59,Kyle Pitts,TE6,ATL,12,0,0.0,0.0,0,0.0,65,813,5.1
60,Dak Prescott,QB9,DAL,7,4223,29.1,11.7,181,1.8,0,0,0.0
61,Tank Dell,WR27,HOU,14,0,0.0,0.0,23,0.2,71,902,5.7
62,Amari Cooper,WR28,CLE,10,0,0.0,0.0,0,0.0,69,952,5.5
63,James Conner,RB20,ARI,11,0,0.0,0.0,748,5.7,30,210,0.8
64,Jaylen Warren,RB21,PIT,9,0,0.0,0.0,660,3.9,39,276,1.0
65,Zay Flowers,WR29,BAL,14,0,0.0,0.0,27,0.4,72,848,5.1
66,Tee Higgins,WR30,CIN,12,0,0.0,0.0,0,0.0,66,879,6.2
67,Chase Brown,RB22,CIN,12,0,0.0,0.0,588,4.1,38,262,2.1
68,Tyjae Spears,RB23,TEN,5,0,0.0,0.0,606,4.3,37,289,1.2
69,Jake Ferguson,TE7,DAL,7,0,0.0,0.0,0,0.0,68,704,4.6
70,Kyler Murray,QB10,ARI,11,3436,20.2,12.4,529,4.9,0,0,0.0
71,Trevor Lawrence,QB11,JAC,12,3980,23.2,11.6,289,2.9,0,0,0.0
72,Tony Pollard,RB24,TEN,5,0,0.0,0.0,729,5.1,28,204,0.7
72,Jayden Daniels,QB12,WAS,14,3165,17.6,12.0,706,5.2,0,0,0.0
74,Keenan Allen,WR31,CHI,7,0,0.0,0.0,0,0.0,74,845,4.6
75,D'Andre Swift,RB25,CHI,7,0,0.0,0.0,658,4.6,30,227,1.5
76,Terry McLaurin,WR32,WAS,14,0,0.0,0.0,0,0.0,66,888,4.8
77,Caleb Williams,QB13,CHI,7,3850,22.3,13.1,365,2.9,0,0,0.0
78,George Kittle,TE8,SF,9,0,0.0,0.0,4,0.0,53,728,5.3
79,Calvin Ridley,WR33,TEN,5,0,0.0,0.0,25,0.2,67,824,4.5
80,Brock Purdy,QB14,SF,9,4013,26.7,13.5,144,1.9,0,0,0.0
81,Justin Herbert,QB15,LAC,5,3691,24.3,10.7,251,2.6,1,4,0.0
82,Devin Singletary,RB26,NYG,11,0,0.0,0.0,736,5.1,23,156,0.8
82,Zach Charbonnet,RB26,SEA,10,0,0.0,0.0,578,3.8,36,246,1.1
84,Evan Engram,TE9,JAC,12,0,0.0,0.0,4,0.0,66,657,3.6
85,Jonathon Brooks,RB28,CAR,11,0,0.0,0.0,631,3.8,33,239,0.9
86,David Montgomery,RB29,DET,5,0,0.0,0.0,716,8.2,14,99,0.5
87,Marquise Brown,WR34,KC,6,0,0.0,0.0,13,0.1,66,802,5.0
87,Javonte Williams,RB30,DEN,14,0,0.0,0.0,587,4.3,34,234,0.8
89,Tua Tagovailoa,QB16,MIA,6,4225,26.1,11.8,100,0.6,0,0,0.0
90,Jared Goff,QB17,DET,5,4300,26.3,11.5,52,0.6,0,0,0.0
91,Brian Robinson Jr.,RB31,WAS,14,0,0.0,0.0,713,4.6,23,187,1.0
